Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
211,T,36.9991565,-86.3729009,514.0,253.9,-0.5,0.192,5.68,,,False,40,False,False
212,T,36.9991512,-86.3729184,514.0,249.2,-0.5,0.193,5.46,,,False,40,False,False
213,T,36.9991469,-86.3729398,513.9,255.9,-1.3,0.195,6.44,,,False,40,False,False
214,T,36.9991437,-86.3729559,513.8,256.0,-1.2,0.196,4.84,,,False,40,False,False
215,T,36.9991415,-86.3729747,513.8,261.7,-1.4,0.197,5.55,,,False,40,False,False
216,T,36.9991383,-86.3729988,513.7,260.6,-1.3,0.198,7.13,,,False,40,False,False
217,T,36.999134,-86.373023,513.6,257.5,-1.2,0.199,7.24,,,False,40,False,False
218,T,36.9991308,-86.3730404,513.5,257.0,-1.2,0.2,5.21,,,False,40,False,False
219,T,36.9991276,-86.3730578,513.5,257.0,-1.2,0.201,5.21,,,False,40,False,False
220,T,36.9991244,-86.3730739,513.4,256.0,-1.2,0.202,4.84,,,False,40,False,False
221,T,36.9991201,-86.3730948,513.3,255.6,-1.1,0.203,6.3,,,False,40,False,False
222,T,36.999119,-86.3731122,513.3,265.5,-1.4,0.204,5.1,,,False,40,False,False
223,T,36.9991115,-86.3731296,513.2,241.6,-0.6,0.205,5.77,,,False,40,False,False
224,T,36.9991083,-86.3731457,513.2,256.0,-1.0,0.206,4.84,,,False,40,False,False
225,T,36.9991051,-86.3731618,513.1,256.0,-1.0,0.207,4.84,,,False,40,False,False
226,T,36.9991019,-86.3731793,513.1,257.1,-1.1,0.208,5.24,,,False,40,False,False
227,T,36.9990986,-86.373198,513.0,257.5,-1.1,0.209,5.59,,,False,40,False,False
228,T,36.9990944,-86.3732182,513.0,255.4,-1.1,0.211,6.09,,,False,40,False,False
229,T,36.9990901,-86.3732423,512.9,257.4,-1.1,0.212,7.21,,,False,40,False,False
230,T,36.9990847,-86.3732624,512.8,251.4,-1.0,0.213,6.19,,,False,40,False,False
231,T,36.9990804,-86.3732879,512.7,258.1,-1.2,0.214,7.61,,,False,40,False,False
232,T,36.9990762,-86.3733053,512.7,253.2,-1.1,0.216,5.31,,,False,40,False,False
233,T,36.9990729,-86.3733241,512.6,257.6,-1.2,0.217,5.62,,,False,40,False,False
234,T,36.9990697,-86.3733389,512.5,254.9,-1.2,0.217,4.48,,,False,40,False,False
235,T,36.9990676,-86.3733523,512.5,258.9,-1.2,0.218,3.99,,,False,40,False,False
236,T,36.9990644,-86.3733697,512.4,257.0,-1.2,0.219,5.21,,,False,40,False,False
237,T,36.9990612,-86.3733818,512.4,251.7,-1.1,0.22,3.72,,,False,40,False,False
238,T,36.999059,-86.3733952,512.3,258.4,-1.2,0.221,3.99,,,False,40,False,False
239,T,36.9990547,-86.3734099,512.3,249.9,-1.0,0.221,4.57,,,False,40,False,False
240,T,36.9990504,-86.373426,512.2,251.5,-1.1,0.222,4.96,,,False,40,False,False
241,T,36.9990472,-86.3734435,512.2,257.1,-1.3,0.223,5.24,,,False,40,False,False
242,T,36.9990462,-86.3734622,512.1,266.2,-1.5,0.224,5.47,,,False,40,False,False
243,T,36.999044,-86.3734797,512.0,261.1,-1.2,0.225,5.17,,,False,40,False,False
244,T,36.9990408,-86.3734958,512.0,256.0,-0.7,0.226,4.84,,,False,40,False,False
245,T,36.9990365,-86.3735105,512.0,249.9,-0.7,0.227,4.57,,,False,40,False,False
246,T,36.9990333,-86.3735293,511.9,258.0,-0.9,0.228,5.61,,,False,40,False,False
247,T,36.9990312,-86.3735508,511.9,263.0,-1.0,0.229,6.33,,,False,40,False,False
248,T,36.9990269,-86.3735722,511.8,255.9,-1.0,0.231,6.44,,,False,40,False,False
249,T,36.9990247,-86.373591,511.7,261.7,-1.1,0.232,5.55,,,False,40,False,False
250,T,36.9990226,-86.3736044,511.7,258.9,-1.1,0.233,3.99,,,False,40,False,False
251,T,36.9990205,-86.3736218,511.6,261.4,-1.1,0.233,5.14,,,False,40,False,False
252,T,36.9990183,-86.3736366,511.6,259.5,-1.1,0.234,4.4,,,False,40,False,False
253,T,36.9990151,-86.3736527,511.5,256.0,-1.0,0.235,4.84,,,False,40,False,False
254,T,36.9990097,-86.3736728,511.5,251.4,-1.0,0.236,6.19,,,False,40,False,False
255,T,36.9990044,-86.3736889,511.4,247.6,-0.8,0.237,5.08,,,True,40,False,False
256,T,36.9990012,-86.373705,511.4,256.0,-1.0,0.238,4.84,,,True,39,False,False
257,T,36.998999,-86.3737224,511.3,261.0,-1.1,0.239,5.14,,,True,38,False,False
258,T,36.9989958,-86.3737372,511.3,254.9,-1.0,0.24,4.48,,,True,38,False,False
259,T,36.9989926,-86.3737533,511.2,256.0,-0.7,0.241,4.84,,,True,37,False,False
260,T,36.9989883,-86.3737667,511.3,248.1,0.5,0.242,4.21,,,True,37,False,False
261,T,36.9989862,-86.3737828,511.3,260.7,0.3,0.243,4.76,,,True,36,False,False
262,T,36.998984,-86.3737975,511.3,259.4,0.4,0.244,4.37,,,True,36,False,False
263,T,36.9989808,-86.3738149,511.3,257.0,0.4,0.245,5.21,,,True,35,False,False
264,T,36.9989776,-86.3738351,511.3,258.8,0.4,0.246,6.01,,,True,34,False,False
265,T,36.9989744,-86.3738525,511.4,257.0,0.3,0.247,5.21,,,True,34,False,False
266,T,36.9989701,-86.3738713,511.4,254.0,0.3,0.248,5.71,,,True,33,False,False
267,T,36.9989669,-86.373886,511.4,254.8,0.3,0.249,4.45,,,True,33,False,False
268,T,36.9989658,-86.3738994,511.4,264.1,0.3,0.249,3.93,,,True,32,False,False
269,T,36.9989626,-86.3739196,511.4,258.8,0.3,0.25,6.01,,,True,32,False,False
270,T,36.9989615,-86.373937,511.4,265.5,0.3,0.251,5.1,,,True,31,False,False
271,T,36.9989615,-86.3739544,511.4,270.0,0.2,0.252,5.08,,,True,30,False,False
272,T,36.9989626,-86.3739692,511.4,275.3,0.2,0.253,4.34,,,True,30,False,False
273,T,36.9989626,-86.3739839,511.5,270.0,0.2,0.254,4.29,,,True,29,False,False
274,T,36.9989638,-86.3739988,511.5,275.8,0.2,0.255,4.37,,,True,29,False,False
275,T,36.9989638,-86.3740109,511.5,270.0,0.3,0.256,3.53,,,True,28,False,False
276,T,36.9989659,-86.3740256,511.5,280.1,0.2,0.256,4.36,,,True,28,False,False
277,T,36.998967,-86.374043,511.5,274.5,0.6,0.257,5.1,,,True,27,False,False
278,T,36.9989702,-86.3740565,511.5,286.5,0.6,0.258,4.11,,,True,26,False,False
279,T,36.9989734,-86.3740726,511.6,284.0,0.7,0.259,4.84,,,True,26,False,False
280,T,36.9989777,-86.3740873,511.6,290.1,0.6,0.26,4.57,,,True,25,False,False
281,T,36.998982,-86.3741047,511.6,287.2,0.7,0.261,5.32,,,True,25,False,False
282,T,36.9989884,-86.3741181,511.7,300.9,0.7,0.262,4.55,,,True,24,False,False
283,T,36.9989938,-86.3741302,511.7,299.2,0.7,0.263,4.04,,,True,24,False,False
